Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
C116216B5B094E63BE7A1A322F0F354D,"Skills, Processes, Materials, and Tools",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
C2B402558AD54C93960B5F70468C1557,"Creative Expression - Creating, Performing, and Participating in the Visual Arts",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
123D931034B24C4BA095604E7DCEA12B,Name and describe objects by color and relative size.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
4F5CD6A3B0414B498B6793E9C99635F4,Identify colors by name.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
4A89FC42A00348E1BA7171E819CAB6DD,Discuss visual and tactile perceptions of the natural and human-made world: what is seen and how objects feel.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
E026E2A6EB544FE5B732B7609155BC25,Develop Perceptual Skills and Visual Arts Vocabulary,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
2C3495B4B1644EC9B85EFABB9393C482,"Artistic Perception - Processing, Analyzing, and Responding to Sensory Information Through the Language and Skills Unique to the Visual Arts",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
F3CB028B93C24B2E8F1394EBAE43B70B,Visual Arts,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
10FF846849474C898A78B7505CDBC6EC,"Role-play adult professions, using creative dramatics and theatrical activities.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
9F0D3A2D691140D0B8542FB1E943B006,Careers and Career-Related Skills,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
A73217ADCFA54B229C7137C0F60A8DEE,"Use body, voice, and imagination to illustrate concepts in other content areas. Use movement and voice, for example, to reinforce vocabulary, such as big, little, loud, and quiet.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
D0002C1861274A82ABF154DDE8A89790,Connections and Applications,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
EA7126CE01F84AB6AC1698374CDD5530,"Connections, Relationships, Applications - Connecting and Applying What Is Learned in Theatre, Film/Video, and Electronic Media to Other Art Forms and Subject Areas and to Careers",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
1284955BEB1747FB882FA239BE2ADB42,Respond appropriately as an audience member.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
8CF05AFD187F4E299B60DB72E1383974,Critical Assessment of Theatre,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
9F4F7D41F94C4C7BA321A779CC10A350,"Aesthetic Valuing - Responding to, Analyzing, and Critiquing Theatrical Experiences",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
07552C330D9A436A9E203A82F5B9E452,"Identify various theatrical experiences, such as live theatre, television, and puppetry.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
439180E3F9B040B4A9A28C3C124C7315,Role and Cultural Significance of Theatre,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
9D823C1F80B043C4A27EAA16DAE468BD,Historical and Cultural Context - Understanding the Historical Contributions and Cultural Dimensions of Theatre,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
E9657F2D523442AFA98578B2C05CE667,"Engage in fantasy play, re-creating situations in familiar settings.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
76A95F744E1846B7B432A5F799DB9319,Creation/Invention in Theatre,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
75807B37A07F4121922081803E8EC8B7,Participate in call-and-response games.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
3F1A518720AE4B839C187E070CB0EADF,Development of Theatrical Skills,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
104B5BBAB1F54E9992D9C26CCC5BA824,"Creative Expression - Creating, Performing, and Participating in Theatre",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
07732396B7B64C89848B60A8443D5021,Identify characteristic movements and sounds of animate and inanimate objects.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
794F30FE4F5448008747C61C8611D7F8,Comprehension and Analysis of the Elements of Theatre,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
